vote,age,gender,degree,locality,katz_centrality
0,21,F,13,"Zagreb, Croatia",0.00503
0,15,F,7,"Zagreb, Croatia",0.0041
0,48,F,2,unkown,0.00276
0,31,F,2,unkown,0.00274
0,32,M,2,"Nova Gradiska, Croatia",0.00272
0,31,M,3,"Zagreb, Croatia",0.00338
0,16,F,2,unkown,0.00271
0,20,M,7,"Zagreb, Croatia",0.00344
0,31,M,6,"Osijek, Croatia",0.00342
0,22,M,1,"Mostar, Bosnia and Herzegovina",0.00273
0,24,F,1,"Zagreb, Croatia",0.0027
0,18,F,1,"Miami, FL, USA",0.00266
0,35,F,22,"Split, Croatia",0.0153
0,30,F,2,"Capljina, Bosnia and Herzegovina",0.00274
0,25,F,6,"Zagreb, Croatia",0.00418
0,19,M,8,"Virovitica, Croatia",0.00427
0,21,F,1,"Osijek, Croatia",0.00266
0,27,F,1,"Harkanovci, Croatia",0.00267
0,19,F,2,"Zagreb, Croatia",0.00275
0,32,F,2,unkown,0.00302
0,15,M,1,"Sarajevo, Bosnia and Herzegovina",0.00268
0,23,F,20,"Zagreb, Croatia",0.00918
0,52,M,1,"Osijek, Croatia",0.00266
0,33,F,1,"Split, Croatia",0.00265
0,19,F,11,"Zagreb, Croatia",0.00437
0,28,F,6,"Khabarovsk, Khabarovsk Krai, Russia",0.0032
0,40,M,4,"Lipik, Croatia",0.00314
0,38,F,2,unkown,0.00327
0,23,F,2,"Zagreb, Croatia",0.00271
0,24,M,8,"49282, Konjscina, Croatia",0.00351
0,20,F,1,"Dakovo, Croatia",0.00265
0,20,M,7,"Varazdin, Croatia",0.00309
0,19,M,13,"Samobor, Croatia",0.00413
0,20,F,3,unkown,0.00278
0,22,M,2,"Pula, Croatia",0.00284
0,20,F,2,"Mahovo, Croatia",0.00274
0,29,F,3,"Oppach, Germany",0.00294
0,25,F,83,"Zagreb, Croatia",0.03586
0,19,M,1,unkown,0.003
0,61,F,4,"Zagreb, Croatia",0.00304
0,23,F,8,"Superior, WI, USA",0.00433
0,15,F,3,"Lipik, Croatia",0.00281
0,34,F,10,"Zagreb, Croatia",0.00371
0,18,M,1,"Osijek, Croatia",0.00267
0,18,M,5,"Zagreb, Croatia",0.00379
0,22,M,9,unkown,0.00323
0,21,F,17,"Zagreb, Croatia",0.0057
0,50,F,2,"Kutjevo, Croatia",0.00274
0,25,F,2,"Srednje Selo, Croatia",0.00275
0,23,M,3,unkown,0.00279
0,33,M,3,"Novi Mihaljevci, Croatia",0.0028
0,28,F,6,"Jaksic, Croatia",0.00311
0,25,F,5,"Osijek, Croatia",0.00379
0,33,M,7,"Rijeka, Croatia",0.00385
0,41,M,2,"Lipovac, Croatia",0.00271
0,18,M,5,"Zagreb, Croatia",0.00309
0,25,F,1,unkown,0.00266
0,21,F,1,unkown,0.00266
0,53,F,1,"52440, Zbandaj, Croatia",0.00266
0,54,F,8,"Sisak, Croatia",0.00516
0,25,M,5,"Zagreb, Croatia",0.00331
0,20,F,11,"Split, Croatia",0.00402
0,21,F,8,"Zagreb, Croatia",0.00515
0,24,F,6,"Osijek, Croatia",0.00316
0,33,M,4,"Ivankovo, Croatia",0.00298
0,35,F,20,"Zagreb, Croatia",0.00801
0,20,M,2,"Zagreb, Croatia",0.00273
0,19,M,9,unkown,0.00321
0,16,F,5,"Viljevo, Croatia",0.00293
0,28,F,10,"Bijelnik, Croatia",0.00351
0,22,M,11,unkown,0.00466
0,38,M,3,"Rijeka, Croatia",0.00277
0,55,F,10,"Rijeka, Croatia",0.00395
0,19,M,7,"Zagreb, Croatia",0.00452
0,20,F,6,"Zupanja, Croatia",0.00302
0,69,F,9,"Zagreb, Croatia",0.00407
0,18,F,1,"40305, Dunjkovec, Croatia",0.00268
0,17,F,21,"Zagreb, Croatia",0.00881
0,19,F,8,unkown,0.00305
0,30,F,4,"Zabok, Croatia",0.00318
0,26,M,14,"Zagreb, Croatia",0.00494
0,33,M,2,"Zagreb, Croatia",0.00288
0,41,F,2,unkown,0.00279
0,22,F,6,unkown,0.003
